,u,v,key,osmid,bearing,length,oneway,indexway,from,to,geometry
0,1283649181,1088409536,0,156591171,58.5,20.537,TRUE,395,1088409536,1283649181,"LINESTRING (100.6015467 13.7100758, 100.6017088 13.7101723)"
1,1283649181,4776208739,0,156591171,238.5,26.454,TRUE,398,4776208739,1283649181,"LINESTRING (100.6019176 13.7102966, 100.6017088 13.7101723)"
2,1088409536,4405368492,0,156591171,58.5,29.743,TRUE,460,4405368492,1088409536,"LINESTRING (100.6013119 13.7099361, 100.6015467 13.7100758)"
3,4776208739,3125784820,0,156591171,238.1,51.469,TRUE,16396,3125784820,4776208739,"LINESTRING (100.6023219 13.7105415, 100.6019176 13.7102966)"
4,4405368492,1283649049,0,156591171,57,74.885,TRUE,454,1283649049,4405368492,"LINESTRING (100.6007302 13.7095698, 100.6013119 13.7099361)"
5,3125784820,3251169733,0,156591171,237,41.944,TRUE,16399,3251169733,3125784820,"LINESTRING (100.6026477 13.7107467, 100.6023219 13.7105415)"
6,1088409638,566130689,0,113135397,70.6,58.423,TRUE,444,566130689,1088409638,"LINESTRING (100.6046996 13.7118244, 100.6052098 13.7119987)"
7,1088409638,3251169749,0,113135397,252,21.606,TRUE,446,3251169749,1088409638,"LINESTRING (100.6054 13.7120588, 100.6052098 13.7119987)"
8,566130689,70706581,0,113135397,69.8,79.938,TRUE,513,70706581,566130689,"LINESTRING (100.604005 13.7115765, 100.6046996 13.7118244)"
9,3251169749,3260549206,0,113135397,252.7,43.423,TRUE,587,3260549206,3251169749,"LINESTRING (100.6057837 13.7121752, 100.6054 13.7120588)"
10,70706581,1283649058,0,113135397,58.1,69.311,TRUE,516,1283649058,70706581,"LINESTRING (100.6034601 13.7112474, 100.604005 13.7115765)"
11,3260549206,566130878,0,113135397,251.8,30.774,TRUE,583,566130878,3260549206,"LINESTRING (100.6060543 13.7122617, 100.6057837 13.7121752)"
12,1283649049,1283869297,0,156591171,59.3,10.015,TRUE,457,1283869297,1283649049,"LINESTRING (100.6006505 13.7095238, 100.6007302 13.7095698)"
13,1283869297,1283869172,0,156591171,60.9,96.577,TRUE,16387,1283869172,1283869297,"LINESTRING (100.599869 13.709102, 100.6006505 13.7095238)"
14,1283869172,5136790697,0,156591171,59,36.047,TRUE,16383,5136790697,1283869172,"LINESTRING (100.599583 13.708935, 100.599869 13.709102)"
15,272197472,270329470,0,156261422,0.6,130.94,TRUE,472,270329470,272197472,"LINESTRING (100.565105 13.726221, 100.5651185 13.7273985)"
16,272197472,272197426,0,156261422,180.6,171.16,TRUE,475,272197426,272197472,"LINESTRING (100.5651346 13.7289377, 100.5651185 13.7273985)"
17,270329470,272197602,0,156261422,5.6,44.599,TRUE,8851,272197602,270329470,"LINESTRING (100.565065 13.7258218, 100.565105 13.726221)"
18,272197426,4507680723,0,454162611,180.8,49.953,TRUE,8832,4507680723,272197426,"LINESTRING (100.5651407 13.7293869, 100.5651346 13.7289377)"
19,272197602,270329469,0,156261422,10.9,42.779,TRUE,9369,270329469,272197602,"LINESTRING (100.5649902 13.725444, 100.565065 13.7258218)"
20,1283649058,1283869383,0,113135397,58,35.532,TRUE,524,1283869383,1283649058,"LINESTRING (100.6031812 13.711078, 100.6034601 13.7112474)"
21,1283869383,1283869483,0,113135473,56.3,22.162,TRUE,607,1283869483,1283869383,"LINESTRING (100.6030106 13.7109673, 100.6031812 13.711078)"
22,1283869483,5072593366,0,156591171,58.1,23.391,TRUE,956,5072593366,1283869483,"LINESTRING (100.6028268 13.7108561, 100.6030106 13.7109673)"
23,70706584,70706585,0,113135397,266.9,12.82,TRUE,529,70706585,70706584,"LINESTRING (100.6074285 13.7126891, 100.60731 13.7126828)"
24,70706584,1975050736,0,113135397,80.7,8.154,TRUE,531,1975050736,70706584,"LINESTRING (100.6072355 13.712671, 100.60731 13.7126828)"
